Date,Close,Volume,Market Capitalization,Operating Expenses to Revenue,Operating Cash Flow to CapEx
2009-03-20,3.628213882446289,695587200,81903178897.9,0.143549,8.41
2009-03-23,3.8450000286102295,666397200,81903178897.9,0.143549,8.41
2009-03-24,3.8035709857940674,640612000,81903178897.9,0.143549,8.41
2009-03-25,3.803214073181152,646618000,81903178897.9,0.143549,8.41
2009-03-26,3.92392897605896,616252000,81903178897.9,0.143549,8.41
2009-03-27,3.816071033477783,492872800,81903178897.9,0.143549,8.41
2009-03-30,3.731786012649536,502796000,109929469741.0,0.138792,9.227642
2009-03-31,3.754286050796509,570080000,109929469741.0,0.138792,9.227642
2009-04-01,3.881786108016968,589372000,109929469741.0,0.138792,9.227642
2009-04-02,4.025356769561768,812366800,109929469741.0,0.138792,9.227642
2009-04-03,4.142499923706055,636241200,109929469741.0,0.138792,9.227642
2009-04-06,4.2303571701049805,658064400,109929469741.0,0.138792,9.227642
2009-04-07,4.107142925262451,536580800,109929469741.0,0.138792,9.227642
2009-04-08,4.154285907745361,455630000,109929469741.0,0.138792,9.227642
2009-04-09,4.270357131958008,530756800,109929469741.0,0.138792,9.227642
2009-04-13,4.2935709953308105,389236400,109929469741.0,0.138792,9.227642
2009-04-14,4.225357055664063,454622000,109929469741.0,0.138792,9.227642
2009-04-15,4.201428890228272,412882400,109929469741.0,0.138792,9.227642
2009-04-16,4.337500095367432,593446000,109929469741.0,0.138792,9.227642
2009-04-17,4.4078569412231445,497495600,109929469741.0,0.138792,9.227642
2009-04-20,4.303571224212647,466466000,109929469741.0,0.138792,9.227642
2009-04-21,4.348570823669434,470685600,109929469741.0,0.138792,9.227642
2009-04-22,4.3396430015563965,938767200,109929469741.0,0.138792,9.227642
2009-04-23,4.478570938110352,945156800,109929469741.0,0.138792,9.227642
2009-04-24,4.425000190734863,540764000,109929469741.0,0.138792,9.227642
2009-04-27,4.4546427726745605,480690000,109929469741.0,0.138792,9.227642
2009-04-28,4.425000190734863,455856800,109929469741.0,0.138792,9.227642
2009-04-29,4.46928596496582,458110800,109929469741.0,0.138792,9.227642
2009-04-30,4.493928909301758,498489600,109929469741.0,0.138792,9.227642
2009-05-01,4.544285774230957,397516000,109929469741.0,0.138792,9.227642
2009-05-04,4.716785907745361,609358400,109929469741.0,0.138792,9.227642
2009-05-05,4.739643096923828,398255200,109929469741.0,0.138792,9.227642
2009-05-06,4.732142925262451,473538800,109929469741.0,0.138792,9.227642
2009-05-07,4.609285831451416,531776000,109929469741.0,0.138792,9.227642
2009-05-08,4.61392879486084,467964000,109929469741.0,0.138792,9.227642
2009-05-11,4.627500057220459,404658800,109929469741.0,0.138792,9.227642
2009-05-12,4.443571090698242,609481600,109929469741.0,0.138792,9.227642
2009-05-13,4.267499923706055,595971600,109929469741.0,0.138792,9.227642
2009-05-14,4.39107084274292,447826400,109929469741.0,0.138792,9.227642
2009-05-15,4.372142791748047,367567200,109929469741.0,0.138792,9.227642
2009-05-18,4.523213863372803,458841600,109929469741.0,0.138792,9.227642
2009-05-19,4.551785945892334,372422400,109929469741.0,0.138792,9.227642
2009-05-20,4.495357036590576,388584000,109929469741.0,0.138792,9.227642
2009-05-21,4.434999942779541,407946000,109929469741.0,0.138792,9.227642
2009-05-22,4.375,297998400,109929469741.0,0.138792,9.227642
2009-05-26,4.670713901519775,636927200,109929469741.0,0.138792,9.227642
2009-05-27,4.751786231994629,646422000,109929469741.0,0.138792,9.227642
2009-05-28,4.8239288330078125,487552800,109929469741.0,0.138792,9.227642
2009-05-29,4.850357055664063,456534400,109929469741.0,0.138792,9.227642
2009-06-01,4.976786136627197,452499600,109929469741.0,0.138792,9.227642
2009-06-02,4.981785774230957,456223600,109929469741.0,0.138792,9.227642
2009-06-03,5.033928871154785,565199600,109929469741.0,0.138792,9.227642
2009-06-04,5.133571147918701,550634000,109929469741.0,0.138792,9.227642
2009-06-05,5.166786193847656,632716000,109929469741.0,0.138792,9.227642
2009-06-08,5.137499809265137,931652400,109929469741.0,0.138792,9.227642
2009-06-09,5.097143173217773,676964400,109929469741.0,0.138792,9.227642
2009-06-10,5.0089287757873535,688623600,109929469741.0,0.138792,9.227642
2009-06-11,4.998213768005371,524823600,109929469741.0,0.138792,9.227642
2009-06-12,4.891786098480225,563085600,109929469741.0,0.138792,9.227642
2009-06-15,4.86035680770874,539750400,109929469741.0,0.138792,9.227642
2009-06-16,4.869643211364746,514805200,109929469741.0,0.138792,9.227642
2009-06-17,4.842143058776856,571412800,109929469741.0,0.138792,9.227642
2009-06-18,4.8528571128845215,427680400,109929469741.0,0.138792,9.227642
2009-06-19,4.981429100036621,721856800,109929469741.0,0.138792,9.227642
2009-06-22,4.906071186065674,634914000,109929469741.0,0.138792,9.227642
2009-06-23,4.786070823669434,706532400,109929469741.0,0.138792,9.227642
2009-06-24,4.864999771118164,485525600,109929469741.0,0.138792,9.227642
2009-06-25,4.994999885559082,589447600,109929469741.0,0.138792,9.227642
2009-06-26,5.0871429443359375,439384400,109929469741.0,0.138792,9.227642
2009-06-29,5.070356845855713,567616000,140412226970.0,0.116409,6.775599
2009-06-30,5.086785793304443,434224000,140412226970.0,0.116409,6.775599
2009-07-01,5.101070880889893,414178800,140412226970.0,0.116409,6.775599
2009-07-02,5.00071382522583,370479200,140412226970.0,0.116409,6.775599
2009-07-06,4.950356960296631,498688400,140412226970.0,0.116409,6.775599
2009-07-07,4.835713863372803,461596800,140412226970.0,0.116409,6.775599
2009-07-08,4.900713920593262,575929200,140412226970.0,0.116409,6.775599
2009-07-09,4.869999885559082,343025200,140412226970.0,0.116409,6.775599
2009-07-10,4.947143077850342,445275600,140412226970.0,0.116409,6.775599
2009-07-13,5.083570957183838,483501200,140412226970.0,0.116409,6.775599
2009-07-14,5.081070899963379,347247600,140412226970.0,0.116409,6.775599
2009-07-15,5.24571418762207,485587200,140412226970.0,0.116409,6.775599
2009-07-16,5.268570899963379,393570800,140412226970.0,0.116409,6.775599
2009-07-17,5.419642925262451,602154000,140412226970.0,0.116409,6.775599
2009-07-20,5.461071014404297,735526400,140412226970.0,0.116409,6.775599
2009-07-21,5.411070823669434,874781600,140412226970.0,0.116409,6.775599
2009-07-22,5.597856998443604,874104000,140412226970.0,0.116409,6.775599
2009-07-23,5.6364288330078125,526962800,140412226970.0,0.116409,6.775599
2009-07-24,5.713929176330566,438362400,140412226970.0,0.116409,6.775599
2009-07-27,5.7178568840026855,433311200,140412226970.0,0.116409,6.775599
2009-07-28,5.714285850524902,363554800,140412226970.0,0.116409,6.775599
2009-07-29,5.715356826782227,382158000,140412226970.0,0.116409,6.775599
2009-07-30,5.813929080963135,469604800,140412226970.0,0.116409,6.775599
2009-07-31,5.835357189178467,422536800,140412226970.0,0.116409,6.775599
2009-08-03,5.943929195404053,394240000,140412226970.0,0.116409,6.775599
2009-08-04,5.912499904632568,395810800,140412226970.0,0.116409,6.775599
2009-08-05,5.896786212921143,423183600,140412226970.0,0.116409,6.775599
2009-08-06,5.853929042816162,341616800,140412226970.0,0.116409,6.775599
2009-08-07,5.911070823669434,387354800,140412226970.0,0.116409,6.775599
2009-08-10,5.882856845855713,300294400,140412226970.0,0.116409,6.775599
2009-08-11,5.815357208251953,355342400,140412226970.0,0.116409,6.775599
2009-08-12,5.903929233551025,445071200,140412226970.0,0.116409,6.775599
2009-08-13,6.014999866485596,439980800,140412226970.0,0.116409,6.775599
2009-08-14,5.9564290046691895,305816000,140412226970.0,0.116409,6.775599
2009-08-17,5.699643135070801,524381200,140412226970.0,0.116409,6.775599
2009-08-18,5.857142925262451,431152400,140412226970.0,0.116409,6.775599
2009-08-19,5.878571033477783,413271600,140412226970.0,0.116409,6.775599
2009-08-20,5.940357208251953,342031200,140412226970.0,0.116409,6.775599
2009-08-21,6.0435709953308105,416074400,140412226970.0,0.116409,6.775599
2009-08-24,6.037857055664063,406929600,140412226970.0,0.116409,6.775599
2009-08-25,6.050000190734863,324354800,140412226970.0,0.116409,6.775599
2009-08-26,5.978929042816162,303998800,140412226970.0,0.116409,6.775599
2009-08-27,6.051785945892334,449181600,140412226970.0,0.116409,6.775599
2009-08-28,6.073214054107666,453700800,140412226970.0,0.116409,6.775599
2009-08-31,6.007500171661377,311337600,140412226970.0,0.116409,6.775599
2009-09-01,5.903571128845215,469028000,140412226970.0,0.116409,6.775599
2009-09-02,5.899285793304443,364249200,140412226970.0,0.116409,6.775599
2009-09-03,5.948214054107666,293955200,140412226970.0,0.116409,6.775599
2009-09-04,6.082499980926514,374628800,140412226970.0,0.116409,6.775599
2009-09-08,6.176071166992188,315047600,140412226970.0,0.116409,6.775599
2009-09-09,6.112143039703369,811087200,140412226970.0,0.116409,6.775599
2009-09-10,6.162857055664063,491134000,140412226970.0,0.116409,6.775599
2009-09-11,6.148571014404297,348961200,140412226970.0,0.116409,6.775599
2009-09-14,6.204286098480225,322011200,140412226970.0,0.116409,6.775599
2009-09-15,6.255713939666748,426470800,140412226970.0,0.116409,6.775599
2009-09-16,6.495357036590576,754023200,140412226970.0,0.116409,6.775599
2009-09-17,6.591071128845215,810572000,140412226970.0,0.116409,6.775599
2009-09-18,6.60785722732544,601582800,140412226970.0,0.116409,6.775599
2009-09-21,6.572143077850342,437715600,140412226970.0,0.116409,6.775599
2009-09-22,6.588571071624756,356753600,140412226970.0,0.116409,6.775599
2009-09-23,6.625,593563600,140412226970.0,0.116409,6.775599
2009-09-24,6.565000057220459,550880400,140412226970.0,0.116409,6.775599
2009-09-25,6.513214111328125,445239200,140412226970.0,0.116409,6.775599
2009-09-28,6.648213863372803,337444800,163213704905.7,0.107505,15.375
2009-09-29,6.62071418762207,345385600,163213704905.7,0.107505,15.375
2009-09-30,6.619643211364746,539585200,163213704905.7,0.107505,15.375
2009-10-01,6.459286212921143,524711600,163213704905.7,0.107505,15.375
2009-10-02,6.603570938110352,553308000,163213704905.7,0.107505,15.375
2009-10-05,6.643570899963379,423133200,163213704905.7,0.107505,15.375
2009-10-06,6.786070823669434,605085600,163213704905.7,0.107505,15.375
2009-10-07,6.794642925262451,465668000,163213704905.7,0.107505,15.375
2009-10-08,6.759643077850342,438211200,163213704905.7,0.107505,15.375
2009-10-09,6.802499771118164,293272000,163213704905.7,0.107505,15.375
2009-10-12,6.814642906188965,288024800,163213704905.7,0.107505,15.375
2009-10-13,6.786428928375244,348020400,163213704905.7,0.107505,15.375
2009-10-14,6.831786155700684,375510800,163213704905.7,0.107505,15.375
2009-10-15,6.805714130401611,373556400,163213704905.7,0.107505,15.375
2009-10-16,6.716071128845215,431426800,163213704905.7,0.107505,15.375
2009-10-19,6.78071403503418,942230800,163213704905.7,0.107505,15.375
2009-10-20,7.098570823669434,1141039200,163213704905.7,0.107505,15.375
2009-10-21,7.318571090698242,1193726800,163213704905.7,0.107505,15.375
2009-10-22,7.32857084274292,791392000,163213704905.7,0.107505,15.375
2009-10-23,7.283570766448975,420786800,163213704905.7,0.107505,15.375
2009-10-26,7.231429100036621,484338400,163213704905.7,0.107505,15.375
2009-10-27,7.048929214477539,756551600,163213704905.7,0.107505,15.375
2009-10-28,6.871428966522217,818386800,163213704905.7,0.107505,15.375
2009-10-29,7.012499809265137,570270400,163213704905.7,0.107505,15.375
2009-10-30,6.732142925262451,717525200,163213704905.7,0.107505,15.375
2009-11-02,6.76107120513916,678983200,163213704905.7,0.107505,15.375
2009-11-03,6.741071224212647,522541600,163213704905.7,0.107505,15.375
2009-11-04,6.814642906188965,487530400,163213704905.7,0.107505,15.375
2009-11-05,6.929643154144287,384801200,163213704905.7,0.107505,15.375
2009-11-06,6.940713882446289,295097600,163213704905.7,0.107505,15.375
2009-11-09,7.195000171661377,528855600,163213704905.7,0.107505,15.375
2009-11-10,7.24928617477417,401195200,163213704905.7,0.107505,15.375
2009-11-11,7.2589287757873535,443870000,163213704905.7,0.107505,15.375
2009-11-12,7.213929176330566,363731200,163213704905.7,0.107505,15.375
2009-11-13,7.301785945892334,343240800,163213704905.7,0.107505,15.375
2009-11-16,7.379642963409424,485206400,163213704905.7,0.107505,15.375
2009-11-17,7.392857074737549,396513600,163213704905.7,0.107505,15.375
2009-11-18,7.355713844299316,374320800,163213704905.7,0.107505,15.375
2009-11-19,7.161070823669434,542326400,163213704905.7,0.107505,15.375
2009-11-20,7.139999866485596,406666400,163213704905.7,0.107505,15.375
2009-11-23,7.3528571128845215,474896800,163213704905.7,0.107505,15.375
2009-11-24,7.30142879486084,318438400,163213704905.7,0.107505,15.375
2009-11-25,7.292500019073486,286454000,163213704905.7,0.107505,15.375
2009-11-27,7.163928985595703,295257200,163213704905.7,0.107505,15.375
2009-11-30,7.13964319229126,424858000,163213704905.7,0.107505,15.375
2009-12-01,7.034643173217773,465763200,163213704905.7,0.107505,15.375
2009-12-02,7.008213996887207,715260000,163213704905.7,0.107505,15.375
2009-12-03,7.0171427726745605,448719600,163213704905.7,0.107505,15.375
2009-12-04,6.904285907745361,826884800,163213704905.7,0.107505,15.375
2009-12-07,6.748213768005371,714758800,163213704905.7,0.107505,15.375
2009-12-08,6.781071186065674,690398800,163213704905.7,0.107505,15.375
2009-12-09,7.064286231994629,684782000,163213704905.7,0.107505,15.375
2009-12-10,7.01535701751709,489669600,163213704905.7,0.107505,15.375
2009-12-11,6.952499866485596,429774800,163213704905.7,0.107505,15.375
2009-12-14,7.034999847412109,495790400,163213704905.7,0.107505,15.375
2009-12-15,6.934642791748047,419459600,163213704905.7,0.107505,15.375
2009-12-16,6.965356826782227,352984800,163213704905.7,0.107505,15.375
2009-12-17,6.852142810821533,388838800,163213704905.7,0.107505,15.375
2009-12-18,6.979642868041992,608770400,163213704905.7,0.107505,15.375
2009-12-21,7.0796427726745605,611906400,163213704905.7,0.107505,15.375
2009-12-22,7.15571403503418,349515600,163213704905.7,0.107505,15.375
2009-12-23,7.217856884002685,345525600,163213704905.7,0.107505,15.375
2009-12-24,7.465713977813721,500889200,163213704905.7,0.107505,15.375
2009-12-28,7.557499885559082,644565600,180888132140.5,0.121935,8.50365
2009-12-29,7.467856884002685,445205600,180888132140.5,0.121935,8.50365
2009-12-30,7.558570861816406,412084400,180888132140.5,0.121935,8.50365
2009-12-31,7.526071071624756,352410800,180888132140.5,0.121935,8.50365
2010-01-04,7.643214225769043,493729600,180888132140.5,0.121935,8.50365
2010-01-05,7.656428813934326,601904800,180888132140.5,0.121935,8.50365
2010-01-06,7.534643173217773,552160000,180888132140.5,0.121935,8.50365
2010-01-07,7.520713806152344,477131200,180888132140.5,0.121935,8.50365
2010-01-08,7.570713996887207,447610800,180888132140.5,0.121935,8.50365
2010-01-11,7.503929138183594,462229600,180888132140.5,0.121935,8.50365
2010-01-12,7.41857099533081,594459600,180888132140.5,0.121935,8.50365
2010-01-13,7.523213863372803,605892000,180888132140.5,0.121935,8.50365
2010-01-14,7.479642868041992,432894000,180888132140.5,0.121935,8.50365
2010-01-15,7.354642868041992,594067600,180888132140.5,0.121935,8.50365
2010-01-19,7.679999828338623,730007600,180888132140.5,0.121935,8.50365
2010-01-20,7.56178617477417,612152800,180888132140.5,0.121935,8.50365
2010-01-21,7.431070804595947,608154400,180888132140.5,0.121935,8.50365
2010-01-22,7.0625,881767600,180888132140.5,0.121935,8.50365
2010-01-25,7.252500057220459,1065699600,180888132140.5,0.121935,8.50365
2010-01-26,7.355000019073486,1867110000,180888132140.5,0.121935,8.50365
2010-01-27,7.424285888671875,1722568400,180888132140.5,0.121935,8.50365
2010-01-28,7.117499828338623,1173502400,180888132140.5,0.121935,8.50365
2010-01-29,6.859285831451416,1245952400,180888132140.5,0.121935,8.50365
2010-02-01,6.9546427726745605,749876400,180888132140.5,0.121935,8.50365
2010-02-02,6.994999885559082,698342400,180888132140.5,0.121935,8.50365
2010-02-03,7.115356922149658,615328000,180888132140.5,0.121935,8.50365
2010-02-04,6.85892915725708,757652000,180888132140.5,0.121935,8.50365
2010-02-05,6.980713844299316,850306800,180888132140.5,0.121935,8.50365
2010-02-08,6.932857036590576,478270800,180888132140.5,0.121935,8.50365
2010-02-09,7.006785869598389,632886800,180888132140.5,0.121935,8.50365
2010-02-10,6.968571186065674,370361600,180888132140.5,0.121935,8.50365
2010-02-11,7.0953569412231445,550345600,180888132140.5,0.121935,8.50365
2010-02-12,7.156428813934326,655468800,180888132140.5,0.121935,8.50365
2010-02-16,7.264286041259766,543737600,180888132140.5,0.121935,8.50365
2010-02-17,7.23392915725708,436396800,180888132140.5,0.121935,8.50365
2010-02-18,7.247499942779541,422825200,180888132140.5,0.121935,8.50365
2010-02-19,7.202499866485596,415469600,180888132140.5,0.121935,8.50365
2010-02-22,7.1578569412231445,390563600,180888132140.5,0.121935,8.50365
2010-02-23,7.037857055664063,575094800,180888132140.5,0.121935,8.50365
2010-02-24,7.166429042816162,460566400,180888132140.5,0.121935,8.50365
2010-02-25,7.214285850524902,665126000,180888132140.5,0.121935,8.50365
2010-02-26,7.307857036590576,507460800,180888132140.5,0.121935,8.50365
2010-03-01,7.463929176330566,550093600,180888132140.5,0.121935,8.50365
2010-03-02,7.458929061889648,566546400,180888132140.5,0.121935,8.50365
2010-03-03,7.476070880889893,372052800,180888132140.5,0.121935,8.50365
2010-03-04,7.525356769561768,366041200,180888132140.5,0.121935,8.50365
2010-03-05,7.819643020629883,899620400,180888132140.5,0.121935,8.50365
2010-03-08,7.824285984039307,429889600,180888132140.5,0.121935,8.50365
2010-03-09,7.965000152587891,920259200,180888132140.5,0.121935,8.50365
2010-03-10,8.029999732971191,596218000,180888132140.5,0.121935,8.50365
2010-03-11,8.053570747375488,405700400,180888132140.5,0.121935,8.50365
2010-03-12,8.092857360839844,416323600,180888132140.5,0.121935,8.50365
2010-03-15,7.994286060333252,493502800,180888132140.5,0.121935,8.50365
2010-03-16,8.016071319580078,446908000,180888132140.5,0.121935,8.50365
2010-03-17,8.00428581237793,450956800,180888132140.5,0.121935,8.50365
2010-03-18,8.023214340209961,342109600,180888132140.5,0.121935,8.50365
2010-03-19,7.9375,559445600,180888132140.5,0.121935,8.50365
2010-03-22,8.026785850524902,456419600,180888132140.5,0.121935,8.50365
2010-03-23,8.15571403503418,602431200,180888132140.5,0.121935,8.50365
2010-03-24,8.19178581237793,597780400,180888132140.5,0.121935,8.50365
2010-03-25,8.094642639160156,542284400,180888132140.5,0.121935,8.50365
2010-03-26,8.246429443359375,640875200,180888132140.5,0.121935,8.50365
2010-03-29,8.299642562866211,540744400,209948942558.5,0.121146,8.068908
2010-03-30,8.423213958740234,527310000,209948942558.5,0.121146,8.068908
2010-03-31,8.39285659790039,430659600,209948942558.5,0.121146,8.068908
2010-04-01,8.427499771118164,603145200,209948942558.5,0.121146,8.068908
2010-04-05,8.517499923706055,684507600,209948942558.5,0.121146,8.068908
2010-04-06,8.555000305175781,447017200,209948942558.5,0.121146,8.068908
2010-04-07,8.592857360839844,628502000,209948942558.5,0.121146,8.068908
2010-04-08,8.569643020629883,572989200,209948942558.5,0.121146,8.068908
2010-04-09,8.635356903076172,334182800,209948942558.5,0.121146,8.068908
2010-04-12,8.653214454650879,333026400,209948942558.5,0.121146,8.068908
